number,name,platform,release_date,summary,meta_score,user_review
16420,Jewel Master: Egypt, PC,"November 3, 2009","Welcome to the country of the Pyramids and the Sphinx, the cradle of civilization! Match three sources of wood, gold, and more to create Egypt.",56,0.0
16422,Combat Elite: WWII Paratroopers, PlayStation Vita,"November 21, 2005","Supported by an army of more than 17,000 US and British paratroopers, you must stop the Nazis from occupying Europe during WWII. Fight with authentic weapons and vehicles alongside brave Allied troops through rolling hills, small farms, and war-torn cities throughout France, Holland, and Belgium. More than 40 varied missions re-create the toughest battles of WWII, including D-Day, Operation Market Garden, and the Battle of the Bulge. If you can survive the brutal battlefield of WWII, you'll earn promotions that allow you to customize your soldier with new skills and abilities.",56,0.0
16426,Teenage Mutant Ninja Turtles 3: Mutant Nightmare, PlayStation 2,"November 1, 2005","TMNT3 puts more of a focus on teamwork, character development and control than any other console Turtles game to date. Gamers can play as their favorite Turtle alone or with up to three friends, earning experience points along the way as they slash and bash Foot Ninjas and powerful, well-known bosses from the TMNT universe. These experience points allow players to improve and evolve their Turtles' traits and abilities for more varied, powerful attacks and moves. The Ninja Scroll System is another new feature on TMMT3. Being able to select which ninja scrolls to use allows the Turtles to use various special abilities strategically. Cooperative play lies at the heart of TMNT3 and gamers who team up with friends for multiplayer action are rewarded with exclusive features such as Cooperative Attack for even more shell shocking damage to enemies. The effect of this attack changes depending on the number of players working together (between 2-4 players). For even greater control, TMNT3 features a new combat system called the Target Attack system that lets gamers play more instinctively and strategically. With the Target Attack system, players will be able to lock onto specific enemies and block, dodge or counter attack accordingly for smoother and more maneuverable combat. Story Mode can be played with 1-4 players. Even when you have less than 4 players to play, the other Turtles will be at your side, controlled through AI. All the Turtles can participate in Cooperative Attack to beat enemies and players can give commands to the AI.",56,0.0
16432,Scooby-Doo! Mystery Mayhem, PC,"March 2, 2004","Scooby and the Gang are back in an all-new adventure. Join your favorite slackers as they try to solve a mystery of supernatural proportions. The gang starts out on a routine case in the search of ghosts. During their search, a scheming business tycoon, who will stop at nothing to grow his empire, uses the Tome of Doom to unlock some of the creepiest monsters our gang has every seen. Help Scooby and Shaggy find the Tome of Doom, capture monsters, and solve the mystery. Would you help Scooby and Shaggy solve this mystery for a Scooby Snack?",56,0.0
16437,MySims Party, GameCube,"March 10, 2009","MySims Party turns any gathering into an instant party with 50 mini games to choose from, each hosted by a different MySim. You and your friends have the chance to Stick the Trick in the extreme snowboarding mini game, outrun a robot in Robo Assault or shake your groove thing with DJ Candy during the Go Go Dancing challenge. Each MySim character brings a unique combination of skill to the mission, with differing levels of endurance, speed and luck giving you the option to choose the best MySim for the task. You can play mini games one right after the other, or you and your friends can compete in a themed festival such as food, music or sports that offers multiple mini games. [Electronic Arts]",56,0.0
16439,Scooby-Doo! Who's Watching Who?, PlayStation 2,"October 16, 2006",Yet another of Scooby's handheld misadventures from THQ.,56,0.0
16442,Rooms: The Main Building, 3DS,"March 23, 2010","Your adventure begins when an invitation abruptly arrives at your doorstep and diverts you to an entrance of a world filled with mystic beauty. Getting there is the easy part, coming home will be the adventure. In this new world, you’ll need to reach the exit of each of the 100+ rooms by sliding pieces of the rooms along a 2-D plane, forcing you to use all of your ingenuity to escape. Your character can move from room to room as long as there’s a path that isn’t blocked by a wall or obstacle. As you continue the adventure, you’ll encounter several tools that will introduce new elements. Use teleporters, wardrobes, hydrants, and other objects to navigate your way through. Blending the simple gameplay elements of classic brain-teasers with a mystical adventure and an art style all its own, Rooms: The Main Building delivers a mystery filled adventure that will leave you stunned. [Hudson Entertainment]",56,0.0
16452,High School Musical: Sing It!, PC,"October 30, 2007","Allowing fans to interact with the movie's characters for the first time on any gaming console, High School Musical: Sing It! extends the ""High School Musical"" experience by offering players the chance to immerse themselves in the world of the hit movie. Fans show off their creativity and skills by mixing together their favorite characters, songs and scenes as they sing their way to stardom. Featuring motion-captured-choreography from the original movie's dance routines, the games provide hours of fun for the entire family as they get to interact with some of their favorite movie stars. Featuring three play modes, Story, Party and Quickplay, fans choose their character with either their favorite cast member (Troy, Gabriella, Sharpay, Ryan, Chad or Taylor). In Story Mode, players live the movie through song and dance, performing ""High School Musical"" and ""High School Musical 2"" songs, from ""Start of Something New"" to ""We're All in this Together,"" solo or as a duet. In Party Mode, friends compete against each other. Players can also choose their favorite backdrop and belt out hit songs from other popular tunes sung by familiar Disney Channel stars. In Quickplay mode, players can jump into any song and pick from any characters, outfits, and environments they've unlocked. For the fans a little shy about singing, or waiting their turn, pick up the Wii remote and the Nunchuk, and move them to the beat to accompany the singers with percussion instruments like a snare drum, tambourine, cowbell and more. [Disney Interactive]",56,0.0
16454,Gyruss, DS,"April 18, 2007","[Xbox Live Arcade] Pilot a lone starship and fight through an armada of alien ships to save Earth in Gyruss, the classic 3D space shooter. Battle your way from Neptune past Uranus, Saturn, Jupiter, and Mars earning power-ups and score bonuses along the way. Experience all 23 levels of this arcade classics as you battle your way to Planet Earth. Play the classic arcade two player mode, taking turns on your Xbox 360, or take your game online with Xbox Live with both versus and co-op game modes. Play Gyruss in all its classic arcade glory, or play the enhanced Xbox 360 version, with digitally enhanced sounds effects, fully rendered 3D models, a new cosmic starfield background, and special explosion effects. You can even earn 12 new achievements for your successful defense of Earth. [Microsoft]",56,0.0
16463,Disney Sports: Motocross, Xbox 360,"March 31, 2003",,56,0.0
16465,Tang Tang, PlayStation Vita,"August 28, 2001","The Associated Nexus of Galaxies (TANG) has been threatened by hordes of invaders bent on pillaging the natural resource of Energy Crystals. As a last hope, the TANG calls upon four super dimensional cyborg heroes, the Tangibles, who have the ability to conjure up solid blocks out of thin air. These brave soldiers will use their cunning, quick reflexes and Power Bolts to retrieve the Energy Crystals and push back the advancing armada.",56,0.0
16466,Fair Strike, Switch,"February 10, 2004","Command an elite squadron of the best military helicopter pilots in the world and battle a nefarious syndicate of international terrorists. Pilot six of the deadliest military helicopters on the planet in 30 levels of intense air-to-air, air-to-ground and air-to-sea combat! Fly 6 playable helicopters: AH-64A Apache, RAH-66 Comanche, PAH-2 Tiger, Ka-50 Black Shark, Ka-52 Alligator, and the Ka-58 Black Ghost. Battle heavily-armed narco-terrorists in the Caribbean, violent separatists in Eastern Europe, and Muslim fundamentalists in South East Asia and the Middle East. Lay waste to enemy tanks, tankers, bunkers, ships, helicopters, troops. Everything on screen is destructible! Awesome multiplayer modes ? via Internet or LAN defeat terrorists in 2-player cooperative missions or compete in 16-player death matches! [Encore Software]",56,0.0
16473,Barnyard, DS,"August 1, 2006","Bring the Barnyard movie to life! Battle the coyote invaders, tee up for a game of golf, target the bulls eye with your flying chicken and race downhill on your speedy bike. Explore a fully interactive, 3D world and prove they have what it takes to be the biggest party animal of them all.",56,0.0
16474,Active Life: Extreme Challenge, PC,"August 11, 2009","(Also known as ""FamilyTrainer: Extreme Challenge"") Following up on its predecessor, Active Life: Extreme Challenge reintroduces the Active Life mat, a durable eight button peripheral that lets players control the on-screen action with their hands and feet when used in conjunction with a Wii Remote. Now with even more intense pick-up and play activities, gaming exercise aficionados can enjoy a full-body workout that truly immerses them in extreme sporting events without the broken bones. Showcasing more than a dozen unique activities, from wakeboarding to rock climbing and base jumping, Active Life: Extreme Challenge promises to keep players' pulses pounding and hearts pumping with each new event. Combining the exclusive mat controller with a Wii Remote not only provides active and fun gameplay but also an experience that burns calories. With competitive and multiplayer challenges for up to two players and the ability to play as your personalized Miis, Active Life: Extreme Challenge ensures that everyone gets to share in the fun. [Namco Bandai Games]",56,0.0
16475,Judge Dredd: Dredd VS Death, Game Boy Advance,"March 1, 2005","Judge Dredd: Dredd Versus Death combines weapon management, fast-paced combat, and intense multiplayer action. Based on the comic book, the game puts you in the shoes of Judge Dredd, a no-holds-barred judge who is determined to clean up the streets of the futuristic Mega-City One. Armed with an all-purpose LawGiver that features six types of ammo, you can shoot to wound, shoot to kill, or make an arrest--all while keeping an eye on your Lawmeter. Shoot an unarmed citizen, and your Lawmeter will drop; apprehend numerous criminals, and it will rise.",56,0.0
16481,Recompile, PlayStation 3,"August 19, 2021","3D sci-fi Metroidvania Recompile features intense combat, tight platforming, super-powered abilities and a unique environmental hacking system. Many obstacles, right down to foes, can be manipulated and bypassed. The story explores many themes from machine sentience to the nature of reality. The player, a rogue program of semi-sentient code, finds themselves trapped in The Mainframe - a sprawling digital wasteland dead-set on deleting trespassers. Recompile is built around a narrative system unique to the genre. Unlike a typical Metroidvania, it features dynamic outcomes based on play style, meaning player decisions alter the world and can lead to any one of multiple endings. Challenges include intelligent enemies and intricate environmental puzzles, all requiring the mastery of many unlockable abilities such as time dilation, explosive weaponry and even jetpack flight.",56,0.0
16482,Monster Jam Steel Titans 2, Xbox 360,"March 2, 2021","Monster Jam Steel Titans 2 features more fan-favorite trucks in brand new Monster Jam worlds. Brand new online multiplayer modes, 38 trucks to choose from and five new outdoor worlds! Drivers train at Camp Crushmore and compete in authentic stadiums to become the ultimate champion. Truck roster features 38 of the greatest trucks in Monster Jam history, including Higher Education, Sparkle Smash and Grave Digger. Five all-new Monster Jam Worlds that expand the Monster Jam universe! Explore and uncover Monster Jam secrets. Compete just like the pros in 12 authentic stadiums and game modes inspired by the real-world shows.",56,0.0
16489,Eco Shooter: Plant 530, Xbox 360,"December 21, 2009","[WiiWare] Earth's empty cans have been brought to life by the Cannoids, an alien race determined to destroy the planet. Only Mack, a technician from the recycling facility Plant 530, stands in their way as Earth's last line of defense. Step into Mack's shoes in this guided first-person shooter as he takes on the invading aliens with only his trusty recycle cannon and a can-do attitude. Blast and vacuum (yes, vacuum) your way to victory, keeping in mind that every shot counts. Your ammo also doubles as your health, and every enemy you destroy leaves behind Can Energy that you can vacuum up and use as ammo. Uncomplicated controls (including optional use of the Wii Zapper accessory) give everyone the chance to save the planet, while advanced tactics like consecutive hit combos and the tough Challenge mode give even the best players a run for their money. Are you ready to step up and put a dent in their cans? [Nintendo]",56,0.0
16491,The Italian Job, PlayStation 3,"July 17, 2003","Charlie Croker and his gang are left for dead in Venice after being double-crossed during one of the biggest gold heists ever. You must take on the role of Charlie and his gang members in their quest for revenge and the gold. Based on the film, The Italian Job's story mode challenges you to create the largest traffic jam in LA history, and then escape in supercharged Mini Coopers. Master four other action-packed modes, including stunt driving, circuit racing, and multiplayer modes for up to two players.",56,0.0
16492,Tokyo Beat Down, Xbox 360,"March 31, 2009","Who has it within them to rise up against the ever growing threat of violence, crime, and terrorism on the streets of Tokyo? Enter the Beast Cops, tireless servants of justice. These men and women struggle night and day for the heart of the city. They'll match any villain punch for punch, kick for kick, bullet for bullet. They're Beast Cops because they will do whatever it takes, pay any price, inflict as much damage as necessary, in order to restore peace and security to the streets of Tokyo. Beat 'em up that lets you shoot 'em up - When fisticuffs aren't enough, add guns to deliver a whole new brand of justice to the mean streets of Tokyo. Pick up a variety of weapons, ranging from handguns to rocket launchers, for intense action on each level. Badass 70's cop show vibe - Outrageous style, over-the-top substance, and no holds barred hardboiled police action mix with madcap humor and sharply-written dialogue. Dishing out justice to the seamy underbelly of Tokyo has never been this satisfying. Multiple characters & endings - This sordid tale of Tokyo's criminal set unfolds through the eyes of three different cops with unique play styles. Story branches lead to multiple endings that determine whether you'll get your shot to beat down the ultimate crime boss. [Atlus USA]",56,0.0
16504,Maximum Chase, DS,"November 6, 2003","The chase is on as gangsters pursue you through the streets and into the desert. In Maximum Chase, you are LA cop Rick Summer, who begins to uncover a sinister plot to destroy Los Angeles. As you move closer to the truth, you'll find yourself outrunning the police and enemies, shooting out the tires of pursuers, and taking down enemy helicopters. Thankfully, you'll have multiple weapons and vehicles to choose from. Combine driving and shooting to push through 10 levels on the traffic-snarled streets of Los Angeles.",56,0.0
16530,X-Men: Next Dimension, Wii,"October 15, 2002","Fight in epic superhero showdowns against 24 of your favorite X-Men characters. In X-Men: The Next Dimension, a powerful enemy plots to rid the world of mutants, and only the X-Men can stop him. Choose from traditional or new X-Men--each with his or her own special fighting abilities and objects to interact with--and battle through destructible environments. Your mission to save the future will uncover secrets about your own past.",56,0.0
16535,EA Replay, PC,"November 14, 2006","EA Replay Title List: B.O.B. - Help B.O.B. blast his way through alien goon squads and rendezvous with his galactic babe. Budokan - Walk the path of the warrior as you master the most deadly martial arts. Desert Strike - With a fiery blast from your Hellfire missiles you must annihilate a ruthless tyrant’s military arsenal. Jungle Strike - The Desert Madman is dead. Now his vicious son plots a nuclear strike against the U.S.A. Haunting Starring Polterguy - Scare an evil family out of their house by being scary, funny, or just plain gross. Mutant League Football - Anything can happen when mutants battle to prove who rules the galactic gridiron. Road Rash - Blow opponents off the backroads in California’s most illegal, unofficial, and dangerous race. Road Rash II - Road racing isn’t just a sport. It’s an attitude! Cruising cross country just got a lot hairier. Road Rash III - Keep an eye out for wildlife and other hazards as you engage in a 150-MPH bike brawl. Syndicate - Sources indicate a rival syndicate has developed a dangerous new computer program. We want it. Ultima: The Black Gate - Solve the mystery that has befallen Britannia before its manifestation is complete. Virtual Pinball - You design the pinball game, you build, you play it. Wing Commander - Lead your elite Tiger’s Claw squadron against the forces of the Kilrathi Empire. Wing Commander: Secret Missions - Come face to face with the ultimate threat to mankind—a weapon capable of destroying entire planets! [Electronic Arts]",56,0.0
16560,Red Johnson's Chronicles - One Against All, PlayStation 4,"September 11, 2012","Red Johnson's Chronicles is an action adventure/puzzle game that is played out in the style of a television crime show like Professor Layton meets CSI. In the game, players take on the role of Red Johnson, a private investigator on the streets of a city where the crime rate is skyrocketing. Players must use clues, solve puzzles and question witnesses to investigate a murder, all while staying out of harm's way.",56,0.0
16565,Justice League: Injustice for All, Game Boy Advance,"November 17, 2002","When global catastrophe strikes and the world is in peril, the call goes out for the Justice League, the greatest super heroes of all time. Fighting for truth, justice and freedom: Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl and Martian Manhunter have banded together to fight for the common good against the Injustice League.",56,0.0
16566,Zapper, PC,"November 3, 2002","Available: Rugged individualist, outdoorsy type, cynical. Physically fit with springy reflexes. Into avoiding trouble and self-defense using electrified antennae. Yellow. Looking for adventure with the right person. This is One Wicked Cricket. [Infogrames]",56,0.0
16577,Rafa Nadal Tennis, PlayStation 4,"June 30, 2007","Designed exclusively for the Nintendo DS, Rafa Nadal Tennis serves up an innovative, fun and fast-paced game of tennis with unprecedented shot control via the touch screen. Using the stylus as both a directional pointer and as a racquet, players can move their tennis pro around the court and execute stunning serves, lobs, drop shots and power shots by sweeping the stylus across the touch screen. Rafa Nadal Tennis features a trio of single-player game modes, including a full Career Mode, Quick Match and more. Career Mode allows players to create their own personalised pro and travel the world to become the best player on the circuit. The game also features a full tutorial mode appropriately labelled Tennis School, to train players in perfect stylus movements for delivering precise, match winning shots. There is also an option to switch between the stylus and traditional control pad, and the tutorial will adapt the contents of the lessons accordingly. Rafa Nadal Tennis also includes a multiplayer component where up to four players can take the court for doubles or one-on-one single matches over wireless, even if the other players don’t have a copy of the game – the single-card wireless multiplayer mode enables up to four players to join a match from one copy of the game. An even more extensive multi-card multiplayer mode offers additional choice over court types and players. [Codemasters]",56,0.0
16579,ProStroke Golf - World Tour 2007, Game Boy Advance,"August 29, 2006","Step up to the tee and take on the pros in this year's only real-world golf simulation. Craft your technique, groove your swing, feel the pressure, compete and become a champion. ProStroke Golf is a faithful adaptation of the world's most challenging sport; including licensed players and commentary from the international voices of golf. Put yourself to the ultimate test - challenge your skill, stamina and mental agility as you take on the best in the world. Control your nerves, feel the power of your drive, stare victory in the face and hear the crowd adore you. Licensed players: Sergio Garcia, Justin Rose, Colin Montgomerie, Ben Curtis, Zhang Lian Wei, and more...TV commentators : Sam Torrance, Ian Baker Finch and Alan Green. Courses include The Brabazon at The Belfry and Lake Nona. Innovative 'ProStroke' controls allow you to groove your own swing – just like the Pros do. Game Modes; From Match Play to Multiplayer through to training exercises and a comprehensive career mode, as well as short scorecard challenges. Caddy Feature offering Golf Pro Training exercises. Course and Tournament creator, allowing you to design and develop your own courses. [Oxygen Interactive]",56,0.0
16585,Empyre: Lords of the Sea Gates, Switch,"October 4, 2017","New York in 1911 is flooded. Avenues are now canals, rooftops are now the streets and slowly the buildings crumble into the sea. Life is precarious here. But Manhattan has endured and transformed into a collection of City-States. Now a new crisis threatens and the city needs your help!",56,0.0
16587,FIFA Street 3, PC,"February 18, 2008","With the all new FIFA Street 3 Touch Screen control scheme you can control all aspects of your team’s performance from passing and shooting to more advanced moves like juggling, headers and bicycle kicks .Use the stylus and simple button controls to seamlessly combine moves together between players to execute rewarding combos – providing you with tons of different ways to showcase your street skills. Fill up your Gamebreaker bar and trigger Touch Screen controlled team trick moments to increase your chances of scoring a goal. FIFA Street 3 on the Nintendo DS features an exclusive mini-game called Kick Ups that challenges you to keep the ball in the air and test your ball juggling skills. Build your team around your favourite player in Street Challenge Mode, and then take them from Pretender to Legendary status by completing challenges, developing Team Chemistry, improving your Reputation and unlocking balls, kits and a few surprises. Take your team to the urban playgrounds of South America, the rooftops in Asia, the streets of Europe, or a special location in Africa exclusive to the Nintendo DS. [Electronic Arts]",56,0.0
16588,Korea: Forgotten Conflict, Xbox One,"November 17, 2003","It's raining. You're hungry, you?re tired, you're wet and you're scared! Not only are you suffering physically, you also have the burden of being the Commander of a group of five military specialists (a medic, a demolition expert, a sniper, a scout, and you) during the Korean War of 1950 to 1953. Comprising of 12 missions spread over four campaigns, each with its own unique setting, this group of soldiers is there to undertake those missions which prove too dangerous for most. Korea: Forgotten Conflict provides both real and original locations using approved military tactics, facilities and equipment. The environments are played through an original, scalable 'glass eye' view, which is easy to manipulate, as you decide your strategy and tactics whilst on the move. [Cenega]",56,0.0
16608,Eco-Creatures: Save the Forest, DS,"March 4, 2008","Deforestation, pollution, global warming and industrialization are just some of the many important themes in Eco Creatures: Save the Forest, a unique real-time strategy game and the only game of its kind that promotes awareness of environmental perils while tasking players with defending the Mana Woods against them. Players use the Touch Screen to control units of woodland creatures—named Ecolis, Ecoby and Ecomon—that will protect the naturally beautiful Mana Woods and recover the polluted land. All creature types have unique skills that must be strategically managed. With proper nurturing, they can evolve to learn new abilities that help a player complete the game’s more than 40 environmental missions. As players grow their woodland army, they must also plant new trees to prevent deforestation and revitalize the woodlands. In addition, Eco Creatures includes a creative Land Make feature that lets players build and play their own maps. This eco-friendly RTS also supports two-player play via Nintendo Wi-Fi Connection, and up to four players via single card download play or ad-hoc multi-card play. [Majesco Games]",55,0.0
16611,Crazy Machines Elements, PC,"August 24, 2011","In grand Crazy Machines tradition, players must create wacky chain reactions using different parts and accomplish the tasks set out in their mission, from knocking vases over to blowing out candles.",55,0.0
16613,Zapper, Xbox,"November 3, 2002","In Zapper, you play a small creature that embarks on a great quest. Zapper is a cricket in search of brother Zipper, who was kidnapped by the evil Maggie the Magpie. Through 18 twisted levels, you'll evade bizarre enemies and deadly hazards using your electrified antennae and springy reflexes. Zap your foes, explore your surroundings, and find and destroy eggs before they hatch. Zapper's intense action continues as you unlock hidden areas, bonus levels, and play multiplayer games.",55,0.0
16619,Monster Madness: Grave Danger, PlayStation 3,"August 5, 2008","Our story begins in a typical house on a Friday night, one seemingly like any other within the quiet, safe streets of Suburbia. Zack is at home on a ""study date"" with Carrie, though he is desperately trying to interest her in more than just his math skills. While Zack is preparing to proclaim his eternal devotion, his friend Andy busts in, pestering Zack to finish the design for a new rocket-powered skateboard. Before Zack can order him and others to leave, some unexpected guests suddenly arrive and these guys are hungry...FOR BRAINS! Zombies break through the front door, and Zack's house is soon swarming with the Undead. The four intrepid teenagers manage to contain their fright, and using all sorts of household weaponry they actually fend off this zombie assault. However now they must contend with a full-scale suburban invasion, and everything from Werewolves to Witches are on the rampage - Oh My! And where has everyone else gone? Together, Zack, Carrie, Andy, and Jennifer resolve to wage a Battle for Suburbia, rescue their missing neighbors, and discover the ultimate source of this monster onslaught. The secrets they'll uncover throughout this adventure will explain the shocking truth behind their little town. [SouthPeak Interactive]",55,0.0
16643,Cartoon Network Racing, PC,"December 4, 2006","The First Annual Cartoon Network Racing Championship is up for grabs and the best-loved Cartoon Network stars -The Powerpuff Girls, Courage the Cowardly Dog, Cow and Chicken, I M Weasel, Johnny Bravo, and Dexter's Laboratory -- are revving up their engines to compete for the grand prize! Players race as their favorite Cartoon Network stars in an attempt to be the first to cross the finish line and gain the highest popularity score through a wacky variety of colorful cartoon environments. The more successful the player is at winning races the more Toon Coins they will earn to unlock new characters and fun bonus games. This kart-style racing game incorporates fast game-play, hilarious sound effects and character Super Powers unique to the personalities of the Cartoon Network stars! Players select their favorite driver and they are ready to go. [The Game Factory]",55,0.0
16644,Rush, PC,"October 30, 2006","(Known as ""L.A. Rush"" in the UK/EU) For the first time on the PSP system, attempt mad jumps, high-flying stunts and arcade-style racing from the newest entry in the RUSH franchise. Go head-to-head with a friend in a street race or cruise mission using wireless functionality, or experience Story Mode which allows you to race through five Los Angeles city re-creations while finding treacherous shortcuts and surviving death-defying jumps. Exclusive to the PSP system is an all-new Stunt Arena, where players can fly over ramps and perform stunts in the air and drive the loop-de-loop to gain massive bursts of speed, all the while collecting golden tokens to unlock extra content. Feel the rush as you race more than 36 licensed rides including muscles, tuner and exotic vehicles. [Midway]",55,0.0
16649,Half Past Fate: Romantic Distancing, DS,"February 14, 2021","Finding true love is hard enough when it’s in person. When a pandemic puts the lockdown on a blooming relationship, will the new couple keep the romance alive, or will distance pull them apart? Cozy up with their quarantine story and see if they’ll find a way to stay connected in the weirdest of times in this new episode of the Half Past Fate story. Features: - Learn to love from afar through the charismatic 3D pixel-art style of Half Past Fate - Enjoy a charming and honest slice-of-life story set in all-too-familiar circumstances - Play from both sides of the new relationship and see how each of your lives have changed - Judge (or admire) each other’s home decor, peculiar roommates, and musical tastes - Explore in endearing detail the intimate environs of each other’s quarantined lives - Maybe figure out what the heck “defragging” does",55,0.0
16650,Solo: Islands of the Heart, Switch,"August 1, 2019","Love is a universal feeling, but each of us experiences it in a different way. Solo – Islands of the Heart explores the theme of love in an introspective way, allowing players to identify and reflect on their own experiences. The world is divided into archipelagos, with each island representing a unique puzzle. Solving puzzles will award the player with a Sleeping Totem, awakening them to answer a question about love and relationships. As with love, most puzzles have no unique solution. Using boxes, each with different properties and behaviors, players can build their own paths to the Sleeping Totems on each island. Nature and contemplation are also a huge part of Solo: pull out your camera and capture the moment, play the guitar, feed the animals or just sit on a bench and think.",55,0.0
16657,Ninjamurai, PlayStation 4,"July 5, 2011","In Ninjamurai, the player assumes the role of Takezou Nishimura (Also known as The Ninjamurai), a young warrior who is the offspring of a union between a Female Ninja and a male Samurai. Rejected by both sides and looked down on as a kind of a mongrel breed, Takezou can be impulsive due to his age and often has a cocky attitude. He does however have a good heart and a desire to help others. He is the most skilled warrior in his mountain shrine where he was raised by a man named Oro Sensei. After many years of training, Takezou is tasked with going into the nearby city and doing some recon. When he gets to the city he realizes something is amiss. It is overrun with Black Armor Militia and Takezou sets about destroying the Black Armor presence in the city. He meets a Black Armor commander named Bedros Majima, who informs him that the Black Armor was responsible for the murder of his parents.",55,0.0
16662,Totaled!, PC,"July 29, 2002","Totaled! takes you for a ride in a destructive racing experience. In one of 12 cars, including hot rods, muscle, and performance cars, you must inflict as much damage on other cars as possible. Both the outer shell of each car (windows, hood, fenders, doors) and the chassis underneath can sustain damage that affects the car's performance. You can compete in 18 customizable game types and challenges, including Free for All, Stuntman, Multi-Tag, and Bus Jumping.",55,0.0
16669,Trioncube, PlayStation 3,"February 20, 2007","In Trioncube, the player must embark on a journey across eight planets into the depths of space, as the captain of the mighty space ship Penko, to rescue the princess from the grasp of Hell Metal. Players reach this goal by creating a Trioncube – a series of 3x3 blocks, which start a chain reaction that refuels the space ship. Try to create as big a chain as you can before time runs out and the Trioncube is broken. The bigger the chain you make, the farther distance your ship travels. Featuring four gameplay modes (Arcade, Story, Endless and Vs) Trioncube will provide endless fun for even the most seasoned puzzler. Unlike your typical puzzler where players try to quickly erase as many blocks as possible, Trioncube will have players at the edge of their seats as they try to create the ultimate 3x3 chain in a new type of thrilling puzzle experience. As they progress through the game, players will have to use different strategies to deal with new shapes in order to create the ultimate chain. Players will be able to collect coins as they create the Trioncube chain and purchase various unique Effects and Arts - like sushi rolls, dogs and tambourines jumping out of the Trioncube – as they travel the galaxy in their Penko. [Namco Bandai Games]",55,0.0
16681,NHL FaceOff 2003, PC,"November 5, 2002","A new presentation engine delivers a new level of emotion and intensity never seen before in the FaceOff franchise. Pre-game warm-ups, walks through the tunnel, players pushing and shoving between whistles, banter from the penalty box, post game celebrations and much more. [Sony]",55,0.0
16684,IGPX: Immortal Grand Prix, Xbox One,"September 12, 2006","The thrill of the popular Cartoon Network series IGPX, comes to the PlayStation 2 in an exhilarating fashion. Delivering the intense chase as you battle against your opponents, IGPX provides a type of thrill never before experienced. By creating a strategic scenario with a variety of formations, players are able to participate in combinations with partners that will deliver high-impact attacks. [Namco Bandai]",55,0.0
16685,Blitzkrieg II: Fall of the Reich, PC,"February 22, 2007","Blitzkrieg 2: Fall of the Reich spans three major offensives from the final days of fighting on the Eastern front and covers both the Soviet and German campaigns in the long ""Siege of Budapest,” ""Fortress Kurland,"" and the Soviet ""Operation Bagration."" Sixteen historically based missions across 10 new maps will challenge beginning and veteran strategists as they try to either capture or defend the remnants of the German war machine during the final days of World War II in Europe. [CDV Software]",55,0.0
16686,Myst III: Exile, Xbox One,"September 22, 2002","In Myst III: Exile, you must track a new villain through several surrealistic Ages. Only by exploring the landscape and solving puzzles will you uncover the truth behind this new adversary. This chapter in the Myst series lets you pan 360 degrees within the environments, giving you more freedom than ever before. Console versions of Myst III: Exile also include improved visuals, ambient sound, and a behind-the-scenes look at the making of Myst.",55,0.0
16687,Bob Help Them, DS,"March 11, 2021","A highly relaxing timer-based game where you help NPCs with their daily chores. Bob Help Them is a timer-based game, where your goal is to help all NPC's, gathering resources, cooking food, fishing, and chopping wood before the timer ends. Enjoy the calming countryside while supporting craftsmen with their daily chores. In Bob Help Them you can: ▪ Become a completionist. Finish 35 levels, help 6 NPCs, and collect 105 stars! ▪ Strategize. Learn who to help first, or how to sequence your activities to be as effective as possible. ▪ Bake. Cook a lovely pie from the freshly harvested fruit. ▪ Mine. Use a pickaxe to acquire stone, iron, or gold. ▪ Smelt. A nearby Forger needs your support. Take iron nuggets and turn them into a shiny ingot. ▪ Chop. Grab an axe and gather wood for Lumberjack. ▪ Fish. Find the closest pond and cast a fishing rod. ▪ Fry. Collect eggs from the chicken coop and fry them over the campfire so Chef can prepare a perfect meal. ▪ Harvest. Does the Farmer need some apples? Pick them from a tree and lighten up his day. ▪ Pet doggos. Yes, that’s one of your tasks, and it’s highly satisfying too. ▪ Catch the “One more level syndrome”. The simple and solid game design will draw you in. ▪ Chill. Operating under time pressure is usually associated with stress, in Bob Help Them it is quite the opposite. Cheerful music and being an important member of a small community sparks a relaxing atmosphere into the game",55,0.0
16688,Galaxy Warfighter, PC,"April 16, 2020","Taking its roots from the classic games in the shoot'em up genre, «Galaxy Warfighter» conveys the old ideas in a new way. Piloting your fighter ship, you have to fight hordes of enemies with unpredictable strategies and attack schemes. Well, and if you think that the usual enemies are too easy, «Galaxy Warfighter» will put you face to face with the ruthless bosses. You should not underestimate them!",55,0.0
16693,Magnetic: Cage Closed, PlayStation 3,"August 28, 2015",Magnetic is a first person puzzle game that lets you manipulate and master magnetic forces. The mechanics are focused around a single tool: The Magnet Gun. This device is the only thing that helps you navigate the vast and deadly prison-maze youve been cast into.,55,0.0
16697,GunGriffon: Allied Strike, PlayStation 4,"December 14, 2004","GunGriffon takes place in a futuristic world where human factions fight for what's left of the earth's resources. As a renegade soldier, you are part of a group whose prime mission is to take down armored tanks. You'll have your own war machine, a ""High Mac"" (High-Mobility Armored Combat System) to help you fight ground machines and a battery of armed soldiers. This mech action game boasts full Xbox Live compatibility with a multiplayer online mode and a variety of intense missions.",55,0.0
